"Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
7,4,"2015-05-28",3830,450,1,0,"0",0
8,4,"2015-05-28",5257,438,1,0,"0",0
9,4,"2015-05-28",9220,1414,1,0,"0",0
10,4,"2015-05-28",5255,483,1,0,"0",0
11,4,"2015-05-28",13216,1752,1,0,"0",0
12,4,"2015-05-28",5935,603,1,0,"0",0
13,4,"2015-05-28",6213,904,1,0,"0",1
14,4,"2015-05-28",3237,389,1,0,"0",0
15,4,"2015-05-28",6132,746,1,0,"0",0
16,4,"2015-05-28",3068,381,1,0,"0",0
17,4,"2015-05-28",4932,453,1,0,"0",0
18,4,"2015-05-28",4953,353,1,0,"0",0
19,4,"2015-05-28",3357,305,1,0,"0",0
20,4,"2015-05-28",4114,681,1,0,"0",0
1,3,"2015-05-27",5093,672,1,0,"0",0
2,3,"2015-05-27",5221,605,1,0,"0",0
3,3,"2015-05-27",1915,283,1,0,"0",0
4,3,"2015-05-27",2702,287,1,0,"0",0
5,3,"2015-05-27",6445,716,1,0,"0",0
6,3,"2015-05-27",6422,532,1,0,"0",0
7,3,"2015-05-27",3317,416,1,0,"0",0
8,3,"2015-05-27",5266,449,1,0,"0",0
9,3,"2015-05-27",9137,1345,1,0,"0",0
10,3,"2015-05-27",5672,511,1,0,"0",0
11,3,"2015-05-27",11061,1520,1,0,"0",0
12,3,"2015-05-27",6509,665,1,0,"0",0
13,3,"2015-05-27",6693,898,1,0,"0",1
14,3,"2015-05-27",3308,404,1,0,"0",0
15,3,"2015-05-27",6379,784,1,0,"0",0
16,3,"2015-05-27",2742,370,1,0,"0",0
17,3,"2015-05-27",4285,376,1,0,"0",0
18,3,"2015-05-27",4734,306,1,0,"0",0
19,3,"2015-05-27",3660,344,1,0,"0",0
20,3,"2015-05-27",5711,740,1,0,"0",0
1,2,"2015-05-26",4708,564,1,0,"0",0
2,2,"2015-05-26",5928,654,1,0,"0",0
3,2,"2015-05-26",2392,351,1,0,"0",0
4,2,"2015-05-26",3243,324,1,0,"0",0
5,2,"2015-05-26",8060,906,1,0,"0",1
6,2,"2015-05-26",6698,528,1,0,"0",1
7,2,"2015-05-26",3720,443,1,0,"0",1
8,2,"2015-05-26",5818,469,1,0,"0",0
9,2,"2015-05-26",9867,1525,1,0,"0",0
10,2,"2015-05-26",5717,486,1,0,"0",0
11,2,"2015-05-26",13151,1824,1,0,"0",0
12,2,"2015-05-26",6923,662,1,0,"0",0
13,2,"2015-05-26",6785,949,1,0,"0",1
14,2,"2015-05-26",2985,401,1,0,"0",0
15,2,"2015-05-26",7272,873,1,0,"0",1
16,2,"2015-05-26",3792,455,1,0,"0",0
17,2,"2015-05-26",5313,467,1,0,"0",1
18,2,"2015-05-26",4747,378,1,0,"0",1
19,2,"2015-05-26",3694,373,1,0,"0",0
20,2,"2015-05-26",4991,725,1,0,"0",0
1,1,"2015-05-25",0,0,0,0,"a",0
2,1,"2015-05-25",0,0,0,0,"a",0
3,1,"2015-05-25",0,0,0,0,"a",0
4,1,"2015-05-25",0,0,0,0,"a",0
5,1,"2015-05-25",0,0,0,0,"a",0
6,1,"2015-05-25",0,0,0,0,"a",0
7,1,"2015-05-25",0,0,0,0,"a",0
8,1,"2015-05-25",0,0,0,0,"a",0
9,1,"2015-05-25",0,0,0,0,"a",0
10,1,"2015-05-25",0,0,0,0,"a",0
11,1,"2015-05-25",0,0,0,0,"a",0
12,1,"2015-05-25",0,0,0,0,"a",0
13,1,"2015-05-25",0,0,0,0,"a",0
14,1,"2015-05-25",0,0,0,0,"a",0
15,1,"2015-05-25",0,0,0,0,"a",0
16,1,"2015-05-25",0,0,0,0,"a",0
17,1,"2015-05-25",0,0,0,0,"a",0
18,1,"2015-05-25",0,0,0,0,"a",0
19,1,"2015-05-25",0,0,0,0,"a",0
20,1,"2015-05-25",0,0,0,0,"a",0
1,7,"2015-05-24",0,0,0,0,"0",0
2,7,"2015-05-24",0,0,0,0,"0",0
3,7,"2015-05-24",0,0,0,0,"0",0
4,7,"2015-05-24",0,0,0,0,"0",0
5,7,"2015-05-24",0,0,0,0,"0",0
6,7,"2015-05-24",0,0,0,0,"0",0
7,7,"2015-05-24",0,0,0,0,"0",0
8,7,"2015-05-24",0,0,0,0,"0",0
9,7,"2015-05-24",0,0,0,0,"0",0
10,7,"2015-05-24",0,0,0,0,"0",0
11,7,"2015-05-24",0,0,0,0,"0",0
12,7,"2015-05-24",0,0,0,0,"0",0
13,7,"2015-05-24",0,0,0,0,"0",0
14,7,"2015-05-24",0,0,0,0,"0",0
15,7,"2015-05-24",0,0,0,0,"0",0
16,7,"2015-05-24",0,0,0,0,"0",0
17,7,"2015-05-24",0,0,0,0,"0",0
18,7,"2015-05-24",0,0,0,0,"0",0
19,7,"2015-05-24",0,0,0,0,"0",0
20,7,"2015-05-24",0,0,0,0,"0",0
1,6,"2015-05-23",2732,331,1,0,"0",0
2,6,"2015-05-23",1577,183,1,0,"0",0
3,6,"2015-05-23",1033,125,1,0,"0",0
4,6,"2015-05-23",3352,324,1,0,"0",0
5,6,"2015-05-23",6412,713,1,0,"0",0
6,6,"2015-05-23",7183,655,1,0,"0",0
7,6,"2015-05-23",3287,390,1,0,"0",0
8,6,"2015-05-23",4941,432,1,0,"0",0
9,6,"2015-05-23",9872,1563,1,0,"0",0
10,6,"2015-05-23",3808,354,1,0,"0",0
11,6,"2015-05-23",9882,1352,1,0,"0",0
12,6,"2015-05-23",4057,418,1,0,"0",0
13,6,"2015-05-23",6735,909,1,0,"0",0
14,6,"2015-05-23",1275,137,1,0,"0",0
15,6,"2015-05-23",4693,589,1,0,"0",0
16,6,"2015-05-23",3283,399,1,0,"0",0
17,6,"2015-05-23",5499,492,1,0,"0",0
18,6,"2015-05-23",5532,381,1,0,"0",0
19,6,"2015-05-23",2401,228,1,0,"0",0
20,6,"2015-05-23",3623,585,1,0,"0",0
1,5,"2015-05-22",4564,504,1,1,"0",0
2,5,"2015-05-22",5083,541,1,1,"0",0
3,5,"2015-05-22",3232,367,1,1,"0",0
4,5,"2015-05-22",4027,384,1,1,"0",0
5,5,"2015-05-22",8758,888,1,1,"0",0
6,5,"2015-05-22",8527,658,1,1,"0",0
7,5,"2015-05-22",4575,515,1,1,"0",0
8,5,"2015-05-22",5996,492,1,1,"0",0
9,5,"2015-05-22",11204,1611,1,1,"0",0
10,5,"2015-05-22",6555,546,1,1,"0",0
11,5,"2015-05-22",13025,1740,1,1,"0",0
12,5,"2015-05-22",7871,696,1,1,"0",0
13,5,"2015-05-22",7857,1021,1,1,"0",0
14,5,"2015-05-22",4354,517,1,1,"0",0
15,5,"2015-05-22",7591,937,1,1,"0",0
16,5,"2015-05-22",3655,425,1,1,"0",0
17,5,"2015-05-22",6272,532,1,1,"0",0
18,5,"2015-05-22",6219,433,1,1,"0",0
19,5,"2015-05-22",4950,413,1,1,"0",0
20,5,"2015-05-22",4914,707,1,1,"0",0
1,4,"2015-05-21",5431,609,1,1,"0",0
2,4,"2015-05-21",5931,597,1,1,"0",0
3,4,"2015-05-21",3135,344,1,1,"0",0
4,4,"2015-05-21",4120,370,1,1,"0",0
5,4,"2015-05-21",9810,954,1,1,"0",0
6,4,"2015-05-21",8998,735,1,1,"0",0
7,4,"2015-05-21",4590,530,1,1,"0",0
8,4,"2015-05-21",5554,501,1,1,"0",0
9,4,"2015-05-21",10604,1486,1,1,"0",0
10,4,"2015-05-21",5949,488,1,1,"0",0
11,4,"2015-05-21",14754,1770,1,1,"0",0
12,4,"2015-05-21",7936,694,1,1,"0",0
13,4,"2015-05-21",8762,1134,1,1,"0",0
14,4,"2015-05-21",4700,467,1,1,"0",0
15,4,"2015-05-21",7117,834,1,1,"0",0
16,4,"2015-05-21",3596,366,1,1,"0",0
17,4,"2015-05-21",6215,510,1,1,"0",0
18,4,"2015-05-21",4875,347,1,1,"0",0
19,4,"2015-05-21",4584,397,1,1,"0",0
20,4,"2015-05-21",5544,688,1,1,"0",0
1,3,"2015-05-20",6696,794,1,1,"0",0
2,3,"2015-05-20",6024,619,1,1,"0",0
3,3,"2015-05-20",3433,363,1,1,"0",0
4,3,"2015-05-20",4240,343,1,1,"0",0
5,3,"2015-05-20",10028,940,1,1,"0",0
6,3,"2015-05-20",7723,582,1,1,"0",0
7,3,"2015-05-20",5294,520,1,1,"0",0
8,3,"2015-05-20",5469,464,1,1,"0",0
9,3,"2015-05-20",10510,1442,1,1,"0",0
10,3,"2015-05-20",6900,561,1,1,"0",0
11,3,"2015-05-20",14911,1795,1,1,"0",0
12,3,"2015-05-20",9896,845,1,1,"0",0
13,3,"2015-05-20",8312,1041,1,1,"0",0
14,3,"2015-05-20",4428,429,1,1,"0",0
15,3,"2015-05-20",7734,817,1,1,"0",0
16,3,"2015-05-20",3650,390,1,1,"0",0
17,3,"2015-05-20",5796,481,1,1,"0",0
18,3,"2015-05-20",5147,356,1,1,"0",0
19,3,"2015-05-20",4776,377,1,1,"0",0
20,3,"2015-05-20",5607,737,1,1,"0",0
1,2,"2015-05-19",6388,631,1,1,"0",0
2,2,"2015-05-19",7367,716,1,1,"0",0
3,2,"2015-05-19",4415,490,1,1,"0",0
4,2,"2015-05-19",4952,411,1,1,"0",0
5,2,"2015-05-19",10515,920,1,1,"0",0
6,2,"2015-05-19",9253,636,1,1,"0",0
7,2,"2015-05-19",6048,614,1,1,"0",0
8,2,"2015-05-19",6355,475,1,1,"0",0
9,2,"2015-05-19",11956,1635,1,1,"0",0
10,2,"2015-05-19",7341,586,1,1,"0",0
11,2,"2015-05-19",18029,2129,1,1,"0",0
12,2,"2015-05-19",10284,831,1,1,"0",0
13,2,"2015-05-19",8413,1106,1,1,"0",0
14,2,"2015-05-19",5399,517,1,1,"0",0
15,2,"2015-05-19",7886,873,1,1,"0",0
16,2,"2015-05-19",3688,434,1,1,"0",0
17,2,"2015-05-19",6300,456,1,1,"0",0
18,2,"2015-05-19",4803,336,1,1,"0",0
19,2,"2015-05-19",4932,405,1,1,"0",0
20,2,"2015-05-19",5968,754,1,1,"0",0
1,1,"2015-05-18",8078,747,1,1,"0",0
2,1,"2015-05-18",9014,813,1,1,"0",0
3,1,"2015-05-18",5382,509,1,1,"0",0
4,1,"2015-05-18",7197,521,1,1,"0",0
5,1,"2015-05-18",11921,1012,1,1,"0",0
6,1,"2015-05-18",10046,716,1,1,"0",0
7,1,"2015-05-18",7185,655,1,1,"0",0
8,1,"2015-05-18",7227,560,1,1,"0",0
9,1,"2015-05-18",13713,1723,1,1,"0",0
10,1,"2015-05-18",8402,663,1,1,"0",0
11,1,"2015-05-18",20927,2292,1,1,"0",0
12,1,"2015-05-18",12409,974,1,1,"0",0
13,1,"2015-05-18",10614,1257,1,1,"0",0
14,1,"2015-05-18",6197,602,1,1,"0",0
15,1,"2015-05-18",10202,1068,1,1,"0",0
16,1,"2015-05-18",4317,455,1,1,"0",0
17,1,"2015-05-18",8520,625,1,1,"0",0
18,1,"2015-05-18",5181,398,1,1,"0",0
19,1,"2015-05-18",6229,475,1,1,"0",0
20,1,"2015-05-18",6975,825,1,1,"0",0
1,7,"2015-05-17",0,0,0,0,"0",0
2,7,"2015-05-17",0,0,0,0,"0",0
3,7,"2015-05-17",0,0,0,0,"0",0
4,7,"2015-05-17",0,0,0,0,"0",0
5,7,"2015-05-17",0,0,0,0,"0",0
6,7,"2015-05-17",0,0,0,0,"0",0
7,7,"2015-05-17",0,0,0,0,"0",0
8,7,"2015-05-17",0,0,0,0,"0",0
9,7,"2015-05-17",0,0,0,0,"0",0
10,7,"2015-05-17",0,0,0,0,"0",0
11,7,"2015-05-17",0,0,0,0,"0",0
12,7,"2015-05-17",0,0,0,0,"0",0
13,7,"2015-05-17",0,0,0,0,"0",0
14,7,"2015-05-17",0,0,0,0,"0",0
15,7,"2015-05-17",0,0,0,0,"0",0
16,7,"2015-05-17",0,0,0,0,"0",0
17,7,"2015-05-17",0,0,0,0,"0",0
18,7,"2015-05-17",0,0,0,0,"0",0
19,7,"2015-05-17",0,0,0,0,"0",0
20,7,"2015-05-17",0,0,0,0,"0",0
1,6,"2015-05-16",2831,337,1,0,"0",0
2,6,"2015-05-16",2267,200,1,0,"0",0
3,6,"2015-05-16",721,101,1,0,"0",0
4,6,"2015-05-16",3328,327,1,0,"0",0
5,6,"2015-05-16",7258,823,1,0,"0",0
6,6,"2015-05-16",7247,625,1,0,"0",0
7,6,"2015-05-16",2771,346,1,0,"0",0
8,6,"2015-05-16",5464,464,1,0,"0",0
9,6,"2015-05-16",8693,1263,1,0,"0",0
10,6,"2015-05-16",4385,368,1,0,"0",0
11,6,"2015-05-16",8530,1246,1,0,"0",0
12,6,"2015-05-16",4343,430,1,0,"0",0
13,6,"2015-05-16",6800,973,1,0,"0",0
14,6,"2015-05-16",1056,121,1,0,"0",0
15,6,"2015-05-16",4986,566,1,0,"0",0
16,6,"2015-05-16",3416,412,1,0,"0",0
17,6,"2015-05-16",5598,487,1,0,"0",0
18,6,"2015-05-16",5544,399,1,0,"0",0
19,6,"2015-05-16",2370,217,1,0,"0",0
20,6,"2015-05-16",3339,566,1,0,"0",0
1,5,"2015-05-15",5293,592,1,0,"0",1
2,5,"2015-05-15",5388,569,1,0,"0",1
3,5,"2015-05-15",2480,368,1,0,"0",1
4,5,"2015-05-15",4728,432,1,0,"0",0
5,5,"2015-05-15",9559,1157,1,0,"0",0
6,5,"2015-05-15",9090,731,1,0,"0",0
7,5,"2015-05-15",4132,491,1,0,"0",0
8,5,"2015-05-15",6660,539,1,0,"0",0
9,5,"2015-05-15",11247,1598,1,0,"0",0
10,5,"2015-05-15",5989,540,1,0,"0",0
11,5,"2015-05-15",14180,1938,1,0,"0",1
12,5,"2015-05-15",7378,668,1,0,"0",0
13,5,"2015-05-15",6741,840,1,0,"0",0
14,5,"2015-05-15",4219,540,1,0,"0",1
15,5,"2015-05-15",8345,1059,1,0,"0",0
16,5,"2015-05-15",3626,457,1,0,"0",0
17,5,"2015-05-15",5709,528,1,0,"0",0
18,5,"2015-05-15",6550,443,1,0,"0",0
19,5,"2015-05-15",4603,429,1,0,"0",0
20,5,"2015-05-15",5739,876,1,0,"0",1
1,4,"2015-05-14",0,0,0,0,"a",0
2,4,"2015-05-14",0,0,0,0,"a",0
3,4,"2015-05-14",0,0,0,0,"a",0
4,4,"2015-05-14",0,0,0,0,"a",0
5,4,"2015-05-14",0,0,0,0,"a",0
6,4,"2015-05-14",0,0,0,0,"a",0
7,4,"2015-05-14",0,0,0,0,"a",0
8,4,"2015-05-14",0,0,0,0,"a",0
9,4,"2015-05-14",0,0,0,0,"a",0
10,4,"2015-05-14",0,0,0,0,"a",0
11,4,"2015-05-14",0,0,0,0,"a",0
12,4,"2015-05-14",0,0,0,0,"a",0
13,4,"2015-05-14",0,0,0,0,"a",0
14,4,"2015-05-14",0,0,0,0,"a",0
15,4,"2015-05-14",0,0,0,0,"a",0
16,4,"2015-05-14",0,0,0,0,"a",0
17,4,"2015-05-14",0,0,0,0,"a",0
18,4,"2015-05-14",0,0,0,0,"a",0
19,4,"2015-05-14",0,0,0,0,"a",0
20,4,"2015-05-14",0,0,0,0,"a",0
1,3,"2015-05-13",5662,734,1,0,"0",0
2,3,"2015-05-13",6295,662,1,0,"0",0
3,3,"2015-05-13",2147,281,1,0,"0",0
4,3,"2015-05-13",4079,387,1,0,"0",0
5,3,"2015-05-13",8083,904,1,0,"0",0
6,3,"2015-05-13",8116,757,1,0,"0",0
7,3,"2015-05-13",3951,507,1,0,"0",0
8,3,"2015-05-13",6137,520,1,0,"0",0
9,3,"2015-05-13",10180,1563,1,0,"0",0
10,3,"2015-05-13",5969,521,1,0,"0",0
11,3,"2015-05-13",13603,1768,1,0,"0",0
12,3,"2015-05-13",7359,719,1,0,"0",0
13,3,"2015-05-13",6877,1054,1,0,"0",0
14,3,"2015-05-13",3216,410,1,0,"0",0
15,3,"2015-05-13",6846,930,1,0,"0",0
16,3,"2015-05-13",3542,399,1,0,"0",0
17,3,"2015-05-13",6685,579,1,0,"0",0
18,3,"2015-05-13",5185,422,1,0,"0",0
19,3,"2015-05-13",4182,409,1,0,"0",0
20,3,"2015-05-13",4709,761,1,0,"0",0
1,2,"2015-05-12",4319,541,1,0,"0",0
2,2,"2015-05-12",5356,591,1,0,"0",0
3,2,"2015-05-12",2748,383,1,0,"0",0
4,2,"2015-05-12",2626,281,1,0,"0",0
5,2,"2015-05-12",7734,832,1,0,"0",0
6,2,"2015-05-12",6125,544,1,0,"0",0
7,2,"2015-05-12",3548,420,1,0,"0",0
8,2,"2015-05-12",4495,400,1,0,"0",0
9,2,"2015-05-12",8022,1342,1,0,"0",0
10,2,"2015-05-12",4679,426,1,0,"0",0
11,2,"2015-05-12",11391,1675,1,0,"0",0
12,2,"2015-05-12",5692,557,1,0,"0",0
13,2,"2015-05-12",6643,1023,1,0,"0",0
14,2,"2015-05-12",3041,377,1,0,"0",0
15,2,"2015-05-12",6602,841,1,0,"0",0
16,2,"2015-05-12",2807,379,1,0,"0",0
17,2,"2015-05-12",4679,420,1,0,"0",0
18,2,"2015-05-12",3729,310,1,0,"0",0
19,2,"2015-05-12",3108,306,1,0,"0",0
20,2,"2015-05-12",4431,727,1,0,"0",0
1,1,"2015-05-11",4521,544,1,0,"0",0
2,1,"2015-05-11",4923,555,1,0,"0",0
3,1,"2015-05-11",2004,260,1,0,"0",0
4,1,"2015-05-11",2993,311,1,0,"0",0
5,1,"2015-05-11",7317,803,1,0,"0",0
6,1,"2015-05-11",5862,519,1,0,"0",0
7,1,"2015-05-11",3311,415,1,0,"0",0
8,1,"2015-05-11",4250,413,1,0,"0",0
9,1,"2015-05-11",9774,1559,1,0,"0",0
10,1,"2015-05-11",5513,490,1,0,"0",0
11,1,"2015-05-11",12941,1789,1,0,"0",0
12,1,"2015-05-11",6051,626,1,0,"0",0
13,1,"2015-05-11",6310,982,1,0,"0",0
14,1,"2015-05-11",2664,364,1,0,"0",0
15,1,"2015-05-11",6054,807,1,0,"0",0
16,1,"2015-05-11",2825,383,1,0,"0",0
17,1,"2015-05-11",4150,405,1,0,"0",0
18,1,"2015-05-11",3531,283,1,0,"0",0
19,1,"2015-05-11",3337,334,1,0,"0",0
20,1,"2015-05-11",4700,694,1,0,"0",0
1,7,"2015-05-10",0,0,0,0,"0",0
2,7,"2015-05-10",0,0,0,0,"0",0
3,7,"2015-05-10",0,0,0,0,"0",0
4,7,"2015-05-10",0,0,0,0,"0",0
5,7,"2015-05-10",0,0,0,0,"0",0
6,7,"2015-05-10",0,0,0,0,"0",0
7,7,"2015-05-10",0,0,0,0,"0",0
8,7,"2015-05-10",0,0,0,0,"0",0
9,7,"2015-05-10",0,0,0,0,"0",0
10,7,"2015-05-10",0,0,0,0,"0",0
11,7,"2015-05-10",0,0,0,0,"0",0
12,7,"2015-05-10",0,0,0,0,"0",0
13,7,"2015-05-10",0,0,0,0,"0",0
14,7,"2015-05-10",0,0,0,0,"0",0
15,7,"2015-05-10",0,0,0,0,"0",0
16,7,"2015-05-10",0,0,0,0,"0",0
17,7,"2015-05-10",0,0,0,0,"0",0
18,7,"2015-05-10",0,0,0,0,"0",0
19,7,"2015-05-10",0,0,0,0,"0",0
20,7,"2015-05-10",0,0,0,0,"0",0
1,6,"2015-05-09",2722,348,1,0,"0",0
2,6,"2015-05-09",2589,251,1,0,"0",0
3,6,"2015-05-09",930,114,1,0,"0",0
4,6,"2015-05-09",3910,367,1,0,"0",0
5,6,"2015-05-09",7727,797,1,0,"0",0
6,6,"2015-05-09",8187,691,1,0,"0",0
7,6,"2015-05-09",3259,365,1,0,"0",0
8,6,"2015-05-09",5084,446,1,0,"0",0
9,6,"2015-05-09",9576,1416,1,0,"0",0
10,6,"2015-05-09",4012,370,1,0,"0",0
11,6,"2015-05-09",9247,1365,1,0,"0",0
12,6,"2015-05-09",4221,447,1,0,"0",0
13,6,"2015-05-09",6402,958,1,0,"0",0
14,6,"2015-05-09",1296,158,1,0,"0",0
15,6,"2015-05-09",5333,657,1,0,"0",0
16,6,"2015-05-09",3154,356,1,0,"0",0
17,6,"2015-05-09",6317,535,1,0,"0",0
18,6,"2015-05-09",4956,373,1,0,"0",0
19,6,"2015-05-09",2285,220,1,0,"0",0
20,6,"2015-05-09",3702,588,1,0,"0",0
1,5,"2015-05-08",5734,753,1,1,"0",0
2,5,"2015-05-08",5486,544,1,1,"0",0
3,5,"2015-05-08",3580,416,1,1,"0",0
4,5,"2015-05-08",4667,405,1,1,"0",0
5,5,"2015-05-08",9960,973,1,1,"0",0
6,5,"2015-05-08",8917,695,1,1,"0",0
7,5,"2015-05-08",4793,501,1,1,"0",0
8,5,"2015-05-08",6606,492,1,1,"0",0
9,5,"2015-05-08",12020,1643,1,1,"0",0
10,5,"2015-05-08",6660,540,1,1,"0",0
11,5,"2015-05-08",14102,1852,1,1,"0",0
12,5,"2015-05-08",9078,780,1,1,"0",0
13,5,"2015-05-08",7669,1019,1,1,"0",0
14,5,"2015-05-08",5189,566,1,1,"0",0
15,5,"2015-05-08",8534,956,1,1,"0",0
16,5,"2015-05-08",3644,424,1,1,"0",0
17,5,"2015-05-08",5816,510,1,1,"0",0
18,5,"2015-05-08",5198,387,1,1,"0",0
19,5,"2015-05-08",4496,395,1,1,"0",0
20,5,"2015-05-08",4882,695,1,1,"0",0
1,4,"2015-05-07",5382,597,1,1,"0",0
2,4,"2015-05-07",5518,578,1,1,"0",0
3,4,"2015-05-07",3471,389,1,1,"0",0
4,4,"2015-05-07",5180,405,1,1,"0",0
5,4,"2015-05-07",9796,945,1,1,"0",0
6,4,"2015-05-07",8896,687,1,1,"0",0
7,4,"2015-05-07",5629,560,1,1,"0",0
8,4,"2015-05-07",5907,474,1,1,"0",0
9,4,"2015-05-07",11485,1574,1,1,"0",0
10,4,"2015-05-07",6956,585,1,1,"0",0
11,4,"2015-05-07",14985,1812,1,1,"0",0
12,4,"2015-05-07",8737,768,1,1,"0",0
13,4,"2015-05-07",8291,1166,1,1,"0",0
14,4,"2015-05-07",4732,479,1,1,"0",0
15,4,"2015-05-07",7152,849,1,1,"0",0
16,4,"2015-05-07",3394,394,1,1,"0",0
17,4,"2015-05-07",5793,485,1,1,"0",0
18,4,"2015-05-07",5042,351,1,1,"0",0
19,4,"2015-05-07",4624,340,1,1,"0",0
20,4,"2015-05-07",5856,742,1,1,"0",0
1,3,"2015-05-06",6558,780,1,1,"0",0
2,3,"2015-05-06",6430,667,1,1,"0",0
3,3,"2015-05-06",3195,350,1,1,"0",0
4,3,"2015-05-06",4287,362,1,1,"0",0
5,3,"2015-05-06",11077,1004,1,1,"0",0
6,3,"2015-05-06",8490,597,1,1,"0",0
7,3,"2015-05-06",5177,539,1,1,"0",0
8,3,"2015-05-06",6328,480,1,1,"0",0
9,3,"2015-05-06",11905,1627,1,1,"0",0
10,3,"2015-05-06",6946,535,1,1,"0",0
11,3,"2015-05-06",16158,1912,1,1,"0",0
12,3,"2015-05-06",10066,817,1,1,"0",0
13,3,"2015-05-06",8637,1132,1,1,"0",0
14,3,"2015-05-06",4586,471,1,1,"0",0
15,3,"2015-05-06",8074,923,1,1,"0",0
16,3,"2015-05-06",3428,399,1,1,"0",0
17,3,"2015-05-06",5784,467,1,1,"0",0
18,3,"2015-05-06",4713,324,1,1,"0",0
19,3,"2015-05-06",4552,373,1,1,"0",0
20,3,"2015-05-06",5474,711,1,1,"0",0
1,2,"2015-05-05",6295,653,1,1,"0",0
2,2,"2015-05-05",7375,670,1,1,"0",0
3,2,"2015-05-05",4363,512,1,1,"0",0
4,2,"2015-05-05",4680,380,1,1,"0",0
5,2,"2015-05-05",10218,928,1,1,"0",0
6,2,"2015-05-05",9079,634,1,1,"0",0
7,2,"2015-05-05",6055,542,1,1,"0",0
8,2,"2015-05-05",6456,487,1,1,"0",0
9,2,"2015-05-05",12038,1639,1,1,"0",0
10,2,"2015-05-05",7364,554,1,1,"0",0
11,2,"2015-05-05",16534,1954,1,1,"0",0
12,2,"2015-05-05",10411,816,1,1,"0",0
13,2,"2015-05-05",9093,1172,1,1,"0",0
14,2,"2015-05-05",4940,510,1,1,"0",0
15,2,"2015-05-05",8406,918,1,1,"0",0
16,2,"2015-05-05",3888,442,1,1,"0",0
17,2,"2015-05-05",6402,479,1,1,"0",0
